SNR_true,SNR_hat,SNR_error,C,PSNR,MS_SSIM,MS_SSIM_dB
1,1,0,32,29.52779619140625,0.9712344015777111,15.411520799026693
1,4,3,32,24.990626641845704,0.9219341963648796,11.077020562523533
1,7,6,32,18.516107330322267,0.7259116994380951,5.622135236496
1,10,9,32,16.10724261779785,0.5738531346321106,3.704859335367183
1,13,12,32,15.325978866577149,0.5082573330879211,3.0828257115509117
4,1,-3,32,30.887902896118163,0.9778869937241077,16.553663024318638
4,4,0,32,32.57176179199219,0.9861824154958129,18.59600201209721
4,7,3,32,29.932160882568358,0.9733599382340908,15.746667135748739
4,10,6,32,24.643969692993164,0.9138106002449989,10.647092505674902
4,13,9,32,22.05413139038086,0.8523794857263565,8.30989334825522
7,1,-6,32,31.05901664428711,0.9773639592736959,16.45218927005385
7,4,-3,32,34.187885626220705,0.9902456831231713,20.108159052065364
7,7,0,32,35.32784287109375,0.9928835429824888,21.477676822878273
7,10,3,32,34.20867181396484,0.9903115276932717,20.13914519254464
7,13,6,32,31.99321563720703,0.9831612085670233,17.738386222024893
10,1,-9,32,31.03763748474121,0.9763186254680156,16.25614732602076
10,4,-6,32,34.75102716064453,0.9910853910028935,20.499144360421354
10,7,-3,32,37.081614190673825,0.9952427460104227,23.226568883296654
10,10,0,32,37.74040224609375,0.9960525242958218,24.037065537548695
10,13,3,32,37.474716522216795,0.9957305784806609,23.696465807247694
13,1,-12,32,30.990293920898438,0.9755350382059813,16.11480451148871
13,4,-9,32,34.98261220703125,0.9913101680889725,20.610007498521618
13,7,-6,32,37.95884020996094,0.9960298759426922,24.01209736107943
13,10,-3,32,39.381101538085936,0.9973515819787979,25.770322522070572
13,13,0,32,39.67643728027344,0.9975809582497924,26.16395432451531
