trainset,model,channel_type,C,SNR_true,SNR_hat,SNR_error,CBR,PSNR,MS_SSIM,MS_SSIM_dB,avg_time
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,1,0,0.33333333333333337,29.517733764648437,,,0.25094006061553953
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,4,3,0.33333333333333337,29.37539005279541,,,0.25304105281829836
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,7,6,0.33333333333333337,28.81725788116455,,,0.24642493724822997
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,10,9,0.33333333333333337,23.835347175598145,,,0.23406200408935546
CIFAR10,SwinJSCC_w/_SA,awgn,32,1,13,12,0.33333333333333337,18.59956111907959,,,0.22375788688659667
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,1,-3,0.33333333333333337,32.00625114440918,,,0.28233067989349364
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,4,0,0.33333333333333337,32.17560005187988,,,0.2747033596038818
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,7,3,0.33333333333333337,32.395009994506836,,,0.24867756366729737
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,10,6,0.33333333333333337,32.10408401489258,,,0.24488775730133056
CIFAR10,SwinJSCC_w/_SA,awgn,32,4,13,9,0.33333333333333337,28.685669136047363,,,0.2401884078979492
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,1,-6,0.33333333333333337,33.880441665649414,,,0.24843180179595947
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,4,-3,0.33333333333333337,34.16309585571289,,,0.24640607833862305
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,7,0,0.33333333333333337,34.55027885437012,,,0.24581460952758788
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,10,3,0.33333333333333337,35.16853485107422,,,0.24517643451690674
CIFAR10,SwinJSCC_w/_SA,awgn,32,7,13,6,0.33333333333333337,34.985561752319335,,,0.24039149284362793
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,1,-9,0.33333333333333337,35.39602546691894,,,0.24808425903320314
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,4,-6,0.33333333333333337,35.82451133728027,,,0.24583044052124023
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,7,-3,0.33333333333333337,36.394284057617185,,,0.2456275701522827
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,10,0,0.33333333333333337,37.31053352355957,,,0.2419356346130371
CIFAR10,SwinJSCC_w/_SA,awgn,32,10,13,3,0.33333333333333337,37.598455810546874,,,0.24107112884521484
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,1,-12,0.33333333333333337,36.48806800842285,,,0.24925146102905274
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,4,-9,0.33333333333333337,37.07960243225098,,,0.24700827598571778
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,7,-6,0.33333333333333337,37.854274368286134,,,0.244688081741333
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,10,-3,0.33333333333333337,39.07597312927246,,,0.24213111400604248
CIFAR10,SwinJSCC_w/_SA,awgn,32,13,13,0,0.33333333333333337,39.50538101196289,,,0.241036057472229
